bac,mention,filière,type_etu,domaine_etu,type_lieu_etu,pays_bac,tranche_age,genre,Niveau_etu,type_cours,satisfact_formation,Col_specialite1,Col_specialite2,Col_matière_prefere1,Col_matière_prefere2,Col_domaine_activite_pro1
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,PRÉSENTIEL,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ
TECHNIQUE (ÉQUIVALENT),BIEN,PREPA ECT,LONGUES (>= MASTER),ECONOMIE ET GESTION,DUT,FRANCE,18-21,FÉMININ,BAC,HYBRIDES,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),LANGUES ÉTRANGÈRES,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HISTOIRE-GÉOGRAPHIE ( HGGSP ),FRANÇAIS,REPRÉSENTATION POLITIQUE
SCIENTIFIQUE (ÉQUIVALENT),BIEN,SCIENCES DE L'INGENIEUR,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,CLASSE PRÉPARATOIRE,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),SYSTÈMES EMBARQUÉS
ECONOMIE ET SOCIALE (ÉQUIVALENT),PASSABLE,WEB DESIGN,COURTES ( < MASTER),ARTS,ECOLE PRIVÉE,FRANCE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,LANGUES ÉTRANGÈRES,NON RENSEIGNÉ,ART
LITTÉRAIRE (ÉQUIVALENT),BIEN,SCIENCES POLTIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HUMANITÉS,LANGUES ÉTRANGÈRES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SCIENCES POLITIQUES,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,ECOLE PRIVÉE,FRANCE,18-21,FÉMININ,LICENCE,HYBRIDES,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),PHILOSOPHIE,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES SOCIALES
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,NON RENSEIGNÉ,ÉCOLOGIE
LITTÉRAIRE (ÉQUIVALENT),TRÈS-BIEN,ARTS,COURTES ( < MASTER),ARTS,UNIVERSITÉ,FRANCE,12-17,FÉMININ,BAC,HYBRIDES,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,ARTS,ART,NON RENSEIGNÉ,CINÉMA
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,Internet of Things(IOT),LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,CYBER SECURITY
