bac,mention,filière,type_etu,domaine_etu,type_lieu_etu,pays_bac,tranche_age,genre,Niveau_etu,type_cours,satisfact_formation,Col_specialite1,Col_specialite2,Col_matière_prefere1,Col_matière_prefere2,Col_domaine_activite_pro1
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,GEOGRAPHIE ET AMENAGEMENT,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,MASCULIN,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ,URBANISME
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES DE LA VIE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,UNIVERSITÉ,SUISSE,18-21,FÉMININ,BACHELOR,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),PHYSIQUE-CHIMIE (PC),SCIENCES DE LA VIE ET DE LA TERRE (SVT),RECHERCHE
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,SCIENCES DE LA VIE,LONGUES (>= MASTER),SCIENCES DE LA VIE ET DE LA SANTÉ,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),SCIENCES DE LA VIE ET DE LA TERRE (SVT),ART,RECHERCHE
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,ECONOMIE ET MANAGEMENT,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,SÉNÉGAL,12-17,FÉMININ,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,IMMOBILIER
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,ECONOMIE ET GESTION,COURTES ( < MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,FRANCE,18-21,FÉMININ,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES ÉCONOMIQUES ET SOCIALES,RESSOURCES HUMAINES
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MÉCANIQUE,LONGUES (>= MASTER),DROIT ET SCIENCES POLITIQUES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,NIGER,22-25,FÉMININ,LICENCE,HYBRIDES,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,LA BIOTECH
SCIENTIFIQUE (ÉQUIVALENT),BIEN,CHIMIE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,BUT,FRANCE,12-17,FÉMININ,BACHELOR,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,MATHÉMATIQUES,NON RENSEIGNÉ,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,ECONOMIE ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,FRANCE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),MATHÉMATIQUES,PHILOSOPHIE,ECONOMIE ET GESTION
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,ECONOMIE ET GESTION,COURTES ( < MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,FRANCE,18-21,MASCULIN,BAC,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PHILOSOPHIE,NON RENSEIGNÉ,ECONOMIE ET GESTION
SCIENTIFIQUE (ÉQUIVALENT),BIEN,CHIMIE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,BUT,FRANCE,12-17,FÉMININ,BACHELOR,PRÉSENTIEL,OUI,PHYSIQUE-CHIMIE (PC),PAS DE SPÉ,PHYSIQUE-CHIMIE (PC),NON RENSEIGNÉ,NON RENSEIGNÉ
ECONOMIE ET SOCIALE (ÉQUIVALENT),ASSEZ-BIEN,ECONOMIE ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,CONGO,18-21,FÉMININ,MASTER,HYBRIDES,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ,LES RESSOURCES HUMAINES
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,BIOLOGIE CELLULAIRE ET PHYSIOLOGIE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,BÉNIN,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),LANGUES ÉTRANGÈRES,ESTHÉTIQUE
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,BIOLOGIE CELLULAIRE ET PHYSIOLOGIE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,AFRIQUE,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),NON RENSEIGNÉ,BIO-INFORMATIQUES
ECONOMIE ET SOCIALE (ÉQUIVALENT),TRÈS-BIEN,ECONOMIE ET GESTION,LONGUES (>= MASTER),ECONOMIE ET GESTION,ECOLE DE COMMERCE,MAROC,18-21,FÉMININ,LICENCE,LIGNE,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,SCIENCES ÉCONOMIQUES ET SOCIALES,LANGUES ÉTRANGÈRES,DÉVELOPPEMENT DE LOGICIELS
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES NUMÉRIQUES ET TECHNOLOGIE,DÉVELOPPEMENT DE LOGICIELS
LITTÉRAIRE (ÉQUIVALENT),ASSEZ-BIEN,SOCIOLOGIE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,SÉNÉGAL,18-21,FÉMININ,LICENCE,PRÉSENTIEL,NON,SCIENCES ÉCONOMIQUES ET SOCIALES,PAS DE SPÉ,FRANÇAIS,NON RENSEIGNÉ,RESSOURCES HUMAINES
LITTÉRAIRE (ÉQUIVALENT),BIEN,SIAD,COURTES ( < MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,OUI,HISTOIRE-GÉOGRAPHIE ( HGGSP ),HUMANITÉS,ART,NON RENSEIGNÉ,LE SOCIAL
ECONOMIE ET SOCIALE (ÉQUIVALENT),BIEN,SOCIOLOGIE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),SCIENCES ÉCONOMIQUES ET SOCIALES,NON RENSEIGNÉ,SCIENCES SOCIALES
TECHNIQUE (ÉQUIVALENT),PASSABLE,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,FRANCE,18-21,MASCULIN,LICENCE,PRÉSENTIEL,OUI,SCIENCES ÉCONOMIQUES ET SOCIALES,NUMÉRIQUES ET SCIENCES INFORMATIQUES,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,INGÉNIEURIE
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,INFORMATIQUE ET TÉLÉCOM,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,SÉNÉGAL,18-21,FÉMININ,MASTER,HYBRIDES,OUI,NUMÉRIQUES ET SCIENCES INFORMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,PHYSIQUE-CHIMIE (PC),RÉSEAU TÉLÉCOM
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,NIGER,18-21,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),ECONOMIE ET GESTION
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MIAGE,COURTES ( < MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,FRANÇAIS,LANGUES ÉTRANGÈRES,CHEFFERIE DE PROJET
SCIENTIFIQUE (ÉQUIVALENT),BIEN,STATISTIQUE ET INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,CONGO,12-17,FÉMININ,INGÉNIEUR,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,NON RENSEIGNÉ,ASSURANCE
LITTÉRAIRE (ÉQUIVALENT),PASSABLE,NÉGOCIATION ET DIGITALISATION DE LA RELATION CLIENT,LONGUES (>= MASTER),"LETTRES, LANGUES ET ART",ECOLE DE COMMERCE,GUYANE,22-25,FÉMININ,BAC,PRÉSENTIEL,OUI,SCIENCES HUMAINES,LITTÉRATURE ET PHILOSOPHIE,FRANÇAIS,LANGUES ÉTRANGÈRES,ECONOMIE ET GESTION
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,ÉCONOMIE MANAGEMENT DES ENTREPRISES,LONGUES (>= MASTER),ECONOMIE ET GESTION,UNIVERSITÉ,CENTRAFRIQUE,12-17,MASCULIN,LICENCE,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,ECONOMIE ET GESTION
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,INFORMATIQUE ET TÉLÉCOM,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,GRANDE ÉCOLE / ÉCOLE D'INGÉNIEURE,NIGER,18-21,MASCULIN,MASTER,HYBRIDES,OUI,NUMÉRIQUES ET SCIENCES INFORMATIQUES,PAS DE SPÉ,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,NON RENSEIGNÉ,SCIENCE TECHNOLOGIES
SCIENTIFIQUE (ÉQUIVALENT),TRÈS-BIEN,PHILOSOPHIE,LONGUES (>= MASTER),SCIENCES HUMAINES ET SOCIALES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,HYBRIDES,NON,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,HISTOIRE-GÉOGRAPHIE ( HGGSP ),NON RENSEIGNÉ,AUCUN
SCIENTIFIQUE (ÉQUIVALENT),BIEN,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,MASCULIN,DOCTORAT,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES DE L'INGÉNIEUR,MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,RECHERCHE
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,GABON,18-21,MASCULIN,BAC,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,NON RENSEIGNÉ,DÉVELOPPEMENT DE LOGICIELS
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,12-17,FÉMININ,LICENCE,PRÉSENTIEL,OUI,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,MATHÉMATIQUES,SCIENCES DE LA VIE ET DE LA TERRE (SVT),DEVELOPPEUR
SCIENTIFIQUE (ÉQUIVALENT),BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,TUNISIE,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,MATHÉMATIQUES,SCIENCES ÉCONOMIQUES ET SOCIALES,DOMAINE DE LA DATA
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MATHÉMATIQUES,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,COMORES,18-21,MASCULIN,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,DOMAINE DE LA DATA
SCIENTIFIQUE (ÉQUIVALENT),ASSEZ-BIEN,MIASHS,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,FRANCE,18-21,FÉMININ,MASTER,PRÉSENTIEL,OUI,MATHÉMATIQUES,PAS DE SPÉ,MATHÉMATIQUES,SCIENCES NUMÉRIQUES ET TECHNOLOGIE,DÉVELOPPEMENT DE LOGICIELS
SCIENTIFIQUE (ÉQUIVALENT),PASSABLE,INFORMATIQUE,LONGUES (>= MASTER),SCIENCES ET TECHNOLOGIES,UNIVERSITÉ,CAMEROUN,18-21,MASCULIN,MASTER,HYBRIDES,NON,SCIENCES DE LA VIE ET DE LA TERRE (SVT),PAS DE SPÉ,SCIENCES DE LA VIE ET DE LA TERRE (SVT),LANGUES ÉTRANGÈRES,DÉVELOPPEMENT DE LOGICIELS
